pair,seed,method,stage,w2,wall_s,nfe,params
moons->spiral,0,sinkhorn-eps0.03,500,0.25853201746940613,2.215717291008332,0,0
moons->spiral,0,bridge-matching-sde,10,0.18502727150917053,7.985771374995238,10,223362
moons->spiral,0,bridge-matching-ode,10,0.4645247161388397,7.985771374995238,10,223362
moons->spiral,0,bridge-matching-sde,50,0.06388925015926361,7.985771374995238,50,223362
moons->spiral,0,bridge-matching-ode,50,0.29040491580963135,7.985771374995238,50,223362
moons->spiral,0,bridge-matching-sde,100,0.05603861063718796,7.985771374995238,100,223362
moons->spiral,0,bridge-matching-ode,100,0.2713237404823303,7.985771374995238,100,223362
moons->spiral,0,dsb,0,0.7626798152923584,3.286191887500172,20,446724
moons->spiral,0,dsb,1,0.8815724849700928,6.572383775000344,20,446724
moons->spiral,0,dsb,2,0.726628303527832,9.858575662500517,20,446724
moons->spiral,0,dsb,3,0.7817476391792297,13.144767550000688,20,446724
moons->spiral,0,dsb,4,0.792640745639801,16.43095943750086,20,446724
moons->spiral,0,dsb,5,0.7721883058547974,19.717151325001034,20,446724
moons->spiral,0,dsb,6,0.7857120633125305,23.003343212501203,20,446724
moons->spiral,0,dsb,7,0.7904473543167114,26.289535100001377,20,446724
moons->spiral,0,dsb,8,nan,29.575726987501547,20,446724
moons->spiral,0,dsb,9,nan,32.86191887500172,20,446724
moons->spiral,1,untransported,0,1.130164623260498,0.0,0,0
moons->spiral,1,sinkhorn-eps0.5,500,0.2196178287267685,1.9852312920120312,0,0
moons->spiral,1,sinkhorn-eps0.1,500,0.08153168112039566,2.0680440830037696,0,0
moons->spiral,1,sinkhorn-eps0.03,500,0.1541784405708313,2.029612250000355,0,0
moons->spiral,1,bridge-matching-sde,10,0.19362516701221466,8.188197957992088,10,223362
moons->spiral,1,bridge-matching-ode,10,0.4549050033092499,8.188197957992088,10,223362
moons->spiral,1,bridge-matching-sde,50,0.06963618844747543,8.188197957992088,50,223362
moons->spiral,1,bridge-matching-ode,50,0.2845173180103302,8.188197957992088,50,223362
